number,name,year,platform,score,votes
27,"<span class=""title""> 27. <a href=""https://club.steam250.com/app/284160"">BeamNG.drive</a></span>","<span class=""date"" title=""29 May 2015""><a href=""/2015""> May 2015 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span></span>",,
28,"<span class=""title""> 28. <a href=""https://club.steam250.com/app/2231450"">Pizza Tower</a></span>","<span class=""date"" title=""26 Jan 2023""><a href=""/2023""> Jan 2023 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""deck"" href=""/steam_deck_verified"" title=""Steam Deck""></a></span>",,
29,"<span class=""title""> 29. <a href=""https://club.steam250.com/app/2420510"">HoloCure - Save the Fans!</a></span>","<span class=""date"" title=""16 Aug 2023""><a href=""/2023""> Aug 2023 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span></span>",,
30,"<span class=""title""> 30. <a href=""https://club.steam250.com/app/2050650"">Resident Evil 4</a></span>","<span class=""date"" title=""23 Mar 2023""><a href=""/2023""> Mar 2023 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""deck"" href=""/steam_deck_verified"" title=""Steam Deck""></a></span>",,
31,"<span class=""title""> 31. <a href=""https://club.steam250.com/app/1089980"">The Henry Stickmin Collection</a></span>","<span class=""date"" title=""7 Aug 2020""><a href=""/2020""> Aug 2020 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a><a class=""deck"" href=""/steam_deck_verified"" title=""Steam Deck""></a></span>",,
32,"<span class=""title""> 32. <a href=""https://club.steam250.com/app/292030"">The Witcher® 3: Wild Hunt</a></span>","<span class=""date"" title=""18 May 2015""><a href=""/2015""> May 2015 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""deck"" href=""/steam_deck_verified"" title=""Steam Deck""></a></span>",,
33,"<span class=""title""> 33. <a href=""https://club.steam250.com/app/3590"">Plants vs. Zombies GOTY Edition</a></span>","<span class=""date"" title=""5 May 2009""><a href=""/2009""> May 2009 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a></span>",,
34,"<span class=""title""> 34. <a href=""https://club.steam250.com/app/460950"">Katana ZERO</a></span>","<span class=""date"" title=""18 Apr 2019""><a href=""/2019""> Apr 2019 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a><a class=""deck"" href=""/steam_deck_verified"" title=""Steam Deck""></a></span>",,
35,"<span class=""title""> 35. <a href=""https://club.steam250.com/app/264710"">Subnautica</a></span>","<span class=""date"" title=""23 Jan 2018""><a href=""/2018""> Jan 2018 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a><a class=""deck"" href=""/steam_deck_verified"" title=""Steam Deck""></a></span>",,
36,"<span class=""title""> 36. <a href=""https://club.steam250.com/app/739630"">Phasmophobia</a></span>","<span class=""date"" title=""18 Sep 2020""><a href=""/2020""> Sep 2020 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""deck"" href=""/steam_deck_verified"" title=""Steam Deck""></a></span>",,
37,"<span class=""title""> 37. <a href=""https://club.steam250.com/app/1332010"">Stray</a></span>","<span class=""date"" title=""19 Jul 2022""><a href=""/2022""> Jul 2022 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a><a class=""deck"" href=""/steam_deck_verified"" title=""Steam Deck""></a></span>",,
38,"<span class=""title""> 38. <a href=""https://club.steam250.com/app/588650"">Dead Cells</a></span>","<span class=""date"" title=""6 Aug 2018""><a href=""/2018""> Aug 2018 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a><a class=""nix"" href=""/linux250"" title=""Linux""></a><a class=""deck"" href=""/steam_deck_verified"" title=""Steam Deck""></a></span>",,
39,"<span class=""title""> 39. <a href=""https://club.steam250.com/app/504230"">Celeste</a></span>","<span class=""date"" title=""25 Jan 2018""><a href=""/2018""> Jan 2018 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a><a class=""nix"" href=""/linux250"" title=""Linux""></a><a class=""deck"" href=""/steam_deck_verified"" title=""Steam Deck""></a></span>",,
40,"<span class=""title""> 40. <a href=""https://club.steam250.com/app/1366540"">Dyson Sphere Program</a></span>","<span class=""date"" title=""20 Jan 2021""><a href=""/2021""> Jan 2021 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span></span>",,
41,"<span class=""title""> 41. <a href=""https://club.steam250.com/app/526870"">Satisfactory</a></span>","<span class=""date"" title=""8 Jun 2020""><a href=""/2020""> Jun 2020 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span></span>",,
42,"<span class=""title""> 42. <a href=""https://club.steam250.com/app/420530"">OneShot</a></span>","<span class=""date"" title=""1 Dec 2016""><a href=""/2016""> Dec 2016 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a><a class=""nix"" href=""/linux250"" title=""Linux""></a></span>",,
43,"<span class=""title""> 43. <a href=""https://club.steam250.com/app/1868140"">DAVE THE DIVER</a></span>","<span class=""date"" title=""28 Jun 2023""><a href=""/2023""> Jun 2023 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a><a class=""deck"" href=""/steam_deck_verified"" title=""Steam Deck""></a></span>",,
44,"<span class=""title""> 44. <a href=""https://club.steam250.com/app/205100"">Dishonored</a></span>","<span class=""date"" title=""8 Oct 2012""><a href=""/2012""> Oct 2012 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""deck"" href=""/steam_deck_verified"" title=""Steam Deck""></a></span>",,
45,"<span class=""title""> 45. <a href=""https://club.steam250.com/app/391540"">Undertale</a></span>","<span class=""date"" title=""15 Sep 2015""><a href=""/2015""> Sep 2015 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a><a class=""nix"" href=""/linux250"" title=""Linux""></a></span>",,
46,"<span class=""title""> 46. <a href=""https://club.steam250.com/app/1920960"">VPet-Simulator</a></span>","<span class=""date"" title=""13 Aug 2023""><a href=""/2023""> Aug 2023 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span></span>",,
47,"<span class=""title""> 47. <a href=""https://club.steam250.com/app/883710"">Resident Evil 2</a></span>","<span class=""date"" title=""24 Jan 2019""><a href=""/2019""> Jan 2019 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""deck"" href=""/steam_deck_verified"" title=""Steam Deck""></a></span>",,
number,name,year,platform,score,votes
